finish,start,qual_speed,car_num,driver,car_name,model,status,laps,led,winnings,year
20,23,222.786,9,Jeret Schroeder,Purity Products,Dallara/Oldsmobile,Running,187,0,256325,2001
21,3,224.994,41,Robby Gordon,Team Conseco/Foyt/RCR Childress Racing,Dallara/Oldsmobile,Running,184,22,173225,2001
22,17,222.145,77,Jaques Lazier,Classmates.com/Jonathan Byrd's Cafeteria,G Force/Oldsmobile,Running,183,0,161325,2001
23,26,221.696,99,Davey Hamilton,Sam Schmidt Motorsports Racing,Dallara/Oldsmobile,Engine,182,0,280325,2001
24,8,224.222,35,Jeff Ward,Aerosmith/Heritage Motorsports/Menards,G Force/Oldsmobile,Running,168,0,248325,2001
25,27,224.449,84,Donnie Beechler,Harrah's A.J. Foyt Racing,Dallara/Oldsmobile,Running,160,0,172325,2001
26,25,222.152,51,Eddie Cheever Jr.,#51 Excite@Home Indy Race Car,Dallara/Infiniti,Electrical,108,0,247325,2001
27,18,222.015,6,Jon Herb,Tri Star Motorsports Inc.,Dallara/Oldsmobile,Accident,104,0,245575,2001
28,29,222.888,36,Stephan Gregoire,Heritage Motorsports/Delco Remy/Menards,G Force/Oldsmobile,Oil leak,86,0,154325,2001
29,22,223.006,49,Nicolas Minassian,Target Chip Ganassi Racing,G Force/Oldsmobile,Gearbox,74,0,149575,2001
30,19,221.615,3,Al Unser Jr.,Galles Racing Starz SuperPak Budweiser,G Force/Oldsmobile,Accident,16,0,255825,2001
31,15,222.548,15,Sarah Fisher,Walker Racing Kroger,Dallara/Oldsmobile,Accident,7,0,247325,2001
32,16,222.529,52,Scott Goodyear,#52 Thermos Grill2Go Cheever Indy Racing,Dallara/Infiniti,Accident,7,0,143325,2001
33,1,226.037,8,Scott Sharp,Delphi Automotive Systems,Dallara/Oldsmobile,Accident,0,0,427325,2001
1,13,229.052,3,Helio Castroneves,Marlboro Team Penske,Dallara/Chevrolet,166.499,200,24,1606215,2002
2,29,228.006,26,Paul Tracy,Team Green 7-Eleven,Dallara/Chevrolet,166.484,200,0,489315,2002
3,4,230.326,21,Felipe Giaffone,Hollywood Mo Nunn Racing,G Force/Chevrolet,166.482,200,12,480315,2002
4,26,228.58,44,Alex Barron,Rayovac Blair Racing,Dallara/Chevrolet,166.477,200,7,412115,2002
5,6,229.786,51,Eddie Cheever Jr.,Red Bull Cheever Racing,Dallara/Infiniti,166.461,200,0,348515,2002
6,22,227.233,20,Richie Hearn,Grill 2 Go Sam Schmidt Motorsports,Dallara/Chevrolet,166.45,200,0,330815,2002
7,25,228.713,39,Michael Andretti,Motorola/Archipelago,Dallara/Chevrolet,166.444,200,0,218715,2002
8,11,229.127,31,Robby Gordon,Menards/Childress/Cingular,Dallara/Chevrolet,166.405,200,0,204000,2002
