finish,start,qual_speed,car_num,driver,car_name,model,status,laps,led,winnings,year
11,13,223.693,17,Jeff Simmons,Rahal Letterman Racing Team Ethanol,Dallara/Honda,151.445,166,1,278347,2007
12,2,225.757,11,Tony Kanaan,Team 7-Eleven,Dallara/Honda,151.235,166,83,414319,2007
13,11,222.789,39,Michael Andretti,Motorola/Jim Beam,Dallara/Honda,150.489,166,1,238247,2007
14,18,222.413,22,A.J. Foyt IV,Vision Racing,Dallara/Honda,Running,165,0,252305,2007
15,26,220.471,98,Alex Barron,Lenovo/CURB Records,Dallara/Honda,Running,165,0,249305,2007
16,17,222.595,55,Kosuke Matsuura,Panasonic Panther,Dallara/Honda,Running,165,0,245305,2007
17,14,223.495,20,Ed Carpenter,Hitachi Power Tools Vision Racing,Dallara/Honda,Accident,164,0,246305,2007
18,21,221.96,5,Sarah Fisher,Dreyer & Reinbold Racing,Dallara/Honda,Running,164,0,238305,2007
19,22,221.38,99,Buddy Lazier,Sam Schmidt Motorsports,Dallara/Honda,Running,164,0,216805,2007
20,15,223.471,14,Darren Manning,ABC Supply Co./AJ Foyt Racing,Dallara/Honda,Running,164,0,232305,2007
21,23,222.654,24,Roger Yasukawa,Wellman Corbier/DRR,Dallara/Honda,Running,164,0,234305,2007
22,6,224.641,10,Dan Wheldon,Target Chip Ganassi Racing,Dallara/Honda,Accident,163,0,231805,2007
23,32,219.86,91,Richie Hearn,Hemelgarn/Racing Professionals,Dallara/Honda,Running,163,0,224305,2007
24,9,223.299,26,Marco Andretti,NYSE Group,Dallara/Honda,Accident,162,13,229351,2007
25,16,222.826,15,Buddy Rice,A1TeamUSA/DRR,Dallara/Honda,Accident,162,0,222805,2007
26,25,220.876,50,Al Unser Jr.,AJ Foyt Racing,Dallara/Honda,Running,161,0,205805,2007
27,28,219.409,21,Jaques Lazier,Indiana Ice / Venture Logistics,Panoz/Honda,Accident,155,2,207389,2007
28,30,218.922,25,Marty Roth,Roth Racing,Dallara/Honda,Accident,148,0,216305,2007
29,33,219.637,31,Phil Giebler,Ethos Fuel Reformulator,Panoz/Honda,Accident,106,0,230305,2007
30,24,221.756,33,John Andretti,Camping World Panther,Dallara/Honda,Accident,95,0,204305,2007
31,29,219.228,23,Milka Duno,CITGO Racing,Dallara/Honda,Accident,65,0,213555,2007
32,27,220.108,19,Jon Herb,Racing Professionals,Dallara/Honda,Accident,51,0,193305,2007
33,31,220.299,77,Roberto Moreno,Chastain Motorsports Z-Line Designs Miller Eads,Panoz/Honda,Accident,36,0,224805,2007
1,1,226.366,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,143.567,200,115,2988065,2008
2,8,224.346,4,Vitor Meira,Delphi National Guard,Dallara/Honda,143.547,200,12,1273215,2008
3,7,224.417,26,Marco Andretti,Team Indiana Jones presented by Blockbuster,Dallara/Honda,143.541,200,15,782065,2008
4,4,225.733,3,Helio Castroneves,Team Penske,Dallara/Honda,143.496,200,0,482815,2008
5,10,223.835,20,Ed Carpenter,Menards/ Vision Racing,Dallara/Honda,143.492,200,3,399665,2008
6,20,221.579,17,Ryan Hunter-Reay,Rahal Letterman Racing Team Ethanol,Dallara/Honda,143.487,200,0,328065,2008
7,9,223.887,27,Hideki Mutoh,Formula Dream,Dallara/Honda,143.477,200,0,307115,2008
8,17,222.101,15,Buddy Rice,Dreyer & Reinbold Racing,Dallara/Honda,143.466,200,8,311415,2008
9,14,222.43,14,Darren Manning,ABC Supply Co./AJ Foyt Racing,Dallara/Honda,143.462,200,0,301815,2008
10,12,222.539,99,Townsend Bell,Dreyer & Reinbold William Rast Racing,Dallara/Honda,143.459,200,0,275315,2008
11,25,220.767,5,Oriol Servia,Angie’s List Special,Dallara/Honda,143.31,200,0,302065,2008
12,2,226.11,10,Dan Wheldon,Target Chip Ganassi Racing,Dallara/Honda,143.215,200,30,366815,2008
13,23,221.136,8,Will Power,Aussie Vineyard-Team Australia,Dallara/Honda,143.206,200,0,300565,2008
14,18,222.017,22,Davey Hamilton,Hewlett-Packard/KR Vision Racing,Dallara/Honda,143.202,200,0,270315,2008
15,29,219.422,36,Enrique Bernoldi,Sangari Conquest Racing,Dallara/Honda,143.201,200,0,300565,2008
16,21,221.55,24,John Andretti,Roth Racing,Dallara/Honda,Running,199,0,300315,2008
17,32,219.015,91,Buddy Lazier,Hemelgarn Johnson,Dallara/Honda,Running,195,0,327015,2008
18,28,219.716,19,Mario Moraes,Sonny's Bar-B-Q,Dallara/Honda,Running,194,3,303415,2008
19,27,220.305,23,Milka Duno,CITGO / Dreyer & Reinbold Racing,Dallara/Honda,Running,185,0,300315,2008
20,15,222.33,18,Bruno Junqueira,Z-Line Designs,Dallara/Honda,Running,184,2,301215,2008
21,31,219.184,2,A.J. Foyt IV,Lilly Diabetes/Vision Racing,Dallara/Honda,Running,180,0,311815,2008
22,5,225.197,7,Danica Patrick,Motorola,Dallara/Honda,Contact,171,0,301915,2008
23,3,226.08,6,Ryan Briscoe,Team Penske,Dallara/Honda,Contact,171,0,312315,2008
24,11,223.496,12,Tomas Scheckter,Symantec Luczo Dragon Racing,Dallara/Honda,Mechanical,156,0,270315,2008
25,19,221.788,16,Alex Lloyd,Rahal Letterman with Chip Ganassi,Dallara/Honda,Contact,151,0,272065,2008
26,26,220.356,33,E.J. Viso,PDVSA HVM Racing,Dallara/Honda,Mechanical,139,0,301565,2008
27,16,222.267,2,Justin Wilson,McDonald's Racing Team,Dallara/Honda,Contact,132,0,302065,2008
28,24,221.103,41,Jeff Simmons,ABC Supply/Foyt Racing,Dallara/Honda,Contact,112,0,270000,2008
29,6,224.794,11,Tony Kanaan,Team 7-Eleven,Dallara/Honda,Contact,105,12,331215,2008
30,22,221.246,67,Sarah Fisher,Sarah Fisher Racing,Dallara/Honda,Contact,103,0,277215,2008
31,30,219.345,34,Jaime Camara,Sangari,Dallara/Honda,Contact,79,0,300565,2008
32,33,218.965,25,Marty Roth,Roth Racing,Dallara/Honda,Contact,59,0,300315,2008
33,13,222.531,6,Graham Rahal,Hole in the Wall Camps,Dallara/Honda,Contact,36,0,312065,2008
1,1,224.864,3,Helio Castroneves,Team Penske,Dallara/Honda,150.318,200,66,3048005,2009
2,18,222.777,4,Dan Wheldon,National Guard Panther Racing,Dallara/Honda,150.293,200,0,1258805,2009
3,10,222.882,7,Danica Patrick,Boost Mobile/Motorola,Dallara/Honda,150.288,200,0,763305,2009
4,24,221.195,8,Townsend Bell,Herbalife-KV Racing Technology,Dallara/Honda,150.284,200,0,445305,2009
5,9,223.028,12,Will Power,Team Verizon Wireless,Dallara/Honda,150.272,200,0,345305,2009
6,5,223.867,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,150.264,200,73,374155,2009
7,3,224.01,10,Dario Franchitti,Target Chip Ganassi Racing,Dallara/Honda,150.256,200,50,386305,2009
8,17,222.78,20,Ed Carpenter,Menards/Vision Racing,Dallara/Honda,150.249,200,0,302805,2009
9,13,223.111,15,Paul Tracy,GEICO/KV Racing Technology,Dallara/Honda,150.236,200,0,271805,2009
10,16,222.805,27,Hideki Mutoh,Formula Dream,Dallara/Honda,150.226,200,0,301805,2009
11,33,221.115,36,Alex Tagliani,All Sport Conquest Racing,Dallara/Honda,150.186,200,0,295305,2009
12,26,221.496,19,Tomas Scheckter,MONA-VIE,Dallara/Honda,150.18,200,0,280305,2009
13,11,222.622,99,Alex Lloyd,HER CGR/SSM Racing,Dallara/Honda,150.177,200,0,270305,2009
14,20,222.162,16,Scott Sharp,Tequila Patrón Panther Racing,Dallara/Honda,150.174,200,0,270305,2009
15,2,224.083,6,Ryan Briscoe,Team Penske,Dallara/Honda,150.159,200,11,349755,2009
16,19,222.586,41,A.J. Foyt IV,ABC Supply/Foyt-Greer Racing,Dallara/Honda,150.123,200,0,271805,2009
17,21,222.082,67,Sarah Fisher,Dollar General/Sarah Fisher Racing,Dallara/Honda,150.117,200,0,270305,2009
18,27,221.417,24,Mike Conway,Dreyer & Reinbold Racing,Dallara/Honda,150.113,200,0,300555,2009
19,28,221.316,43,John Andretti,Window World,Dallara/Honda,150.091,200,0,276805,2009
20,30,221.106,23,Milka Duno,CITGO/Dreyer & Reinbold Racing,Dallara/Honda,Running,199,0,301805,2009
21,14,223.054,14,Vitor Meira,ABC Supply Co. AJ Foyt Racing,Dallara/Honda,Contact,173,0,300305,2009
22,12,223.429,2,Raphael Matos,US Air Force Luczo Dragon,Dallara/Honda,Contact,173,0,308305,2009
23,15,222.903,18,Justin Wilson,Z-Line Designs,Dallara/Honda,Contact,160,0,300305,2009
24,29,221.164,13,E.J. Viso,PDVSA HVM Racing,Dallara/Honda,Mechanical,139,0,300305,2009
25,31,220.754,0,Nelson Philippe,i drive green HVM Racing,Dallara/Honda,Contact,130,0,270555,2009
26,25,220.984,17,Oriol Servia,The Rahal Letterman DAFCA Special,Dallara/Honda,Mechanical,98,0,271805,2009
27,6,223.612,11,Tony Kanaan,Team 7-Eleven,Dallara/Honda,Contact,97,0,303305,2009
28,23,221.692,6,Robert Doornbos,Newman/Haas/Lanigan Racing,Dallara/Honda,Contact,85,0,305555,2009
29,22,221.956,44,Davey Hamilton,Hewlett Packard,Dallara/Honda,Contact,79,0,271805,2009
30,8,223.114,26,Marco Andretti,Team Venom Energy,Dallara/Honda,Handling,56,0,315305,2009
31,4,223.954,2,Graham Rahal,McDonald's Racing Team,Dallara/Honda,Contact,55,0,305805,2009
32,32,220.597,21,Ryan Hunter-Reay,IZOD/WilliamRast/Vision Racing,Dallara/Honda,Contact,19,0,353305,2009
33,7,223.331,5,Mario Moraes,Azul Tequila-Votorantim-KV Racing,Dallara/Honda,Contact,0,0,301805,2009
1,3,226.99,10,Dario Franchitti,Target Chip Ganassi Racing,Dallara/Honda,161.623,200,155,2752055,2010
2,18,224.464,4,Dan Wheldon,National Guard Panther Racing,Dallara/Honda,161.621,200,0,1010805,2010
3,16,224.575,26,Marco Andretti,Team Venom Energy,Dallara/Honda,161.319,200,1,631505,2010
4,26,224.783,19,Alex Lloyd,Boy Scouts of America,Dallara/Honda,161.319,200,0,425305,2010
5,6,226.233,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,161.312,200,0,377805,2010
6,23,224.217,7,Danica Patrick,Team GoDaddy.com,Dallara/Honda,161.308,200,0,307305,2010
7,11,225.05,22,Justin Wilson,Team Z-Line Designs/DRR,Dallara/Honda,161.247,200,11,312255,2010
8,2,227.578,12,Will Power,Verizon Team Penske,Dallara/Honda,161.185,200,5,385805,2010
9,1,227.97,3,Helio Castroneves,Team Penske,Dallara/Honda,161.146,200,3,545655,2010
10,5,226.39,77,Alex Tagliani,Bowers & Wilkins/Honda Edmonton Indy,Dallara/Honda,161.128,200,0,302805,2010
11,33,224.072,11,Tony Kanaan,Team 7-Eleven,Dallara/Honda,160.763,200,0,328555,2010
12,7,225.519,30,Graham Rahal,The Quick Trim/RLR Special,Dallara/Honda,160.758,200,0,251805,2010
13,27,224.641,34,Mario Romancini,Conquest Racing,Dallara/Honda,160.733,200,0,305555,2010
14,22,224.228,78,Simona de Silvestro,Team Stargate Worlds/HVM,Dallara/Honda,160.733,200,0,327055,2010
15,20,224.261,23,Tomas Scheckter,MonaVie/DRR,Dallara/Honda,Running,199,5,262555,2010
16,10,225.097,99,Townsend Bell,Herbalife Ganassi/Schmidt Team,Dallara/Honda,Running,199,0,251805,2010
17,8,224.507,20,Ed Carpenter,Panther/Vision/Fuzzy's Vodka,Dallara/Honda,Running,199,0,250305,2010
18,17,224.547,37,Ryan Hunter-Reay,Team IZOD,Dallara/Honda,Contact,198,0,302305,2010
19,15,224.583,24,Mike Conway,Dad's Root Beer/DRR,Dallara/Honda,Contact,198,15,307055,2010
20,31,224.178,5,Takuma Sato,Lotus-KV Racing Technology,Dallara/Honda,Running,198,0,302055,2010
21,21,224.243,25,Ana Beatriz,Ipiranga/DRR,Dallara/Honda,Contact,196,0,250305,2010
22,24,224.189,36,Bertrand Baguette,Conquest Racing RACB,Dallara/Honda,Running,183,0,300555,2010
23,32,223.634,29,Sebastian Saavedra,William Rast/Bryan Herta Autosport,Dallara/Honda,Contact,159,0,255555,2010
24,4,226.554,6,Ryan Briscoe,Team Penske,Dallara/Honda,Contact,147,5,307305,2010
25,19,224.38,8,E.J. Viso,PDVSA-Jet Aviation-KV Racing Technology,Dallara/Honda,Contact,139,0,301805,2010
26,29,224.434,67,Sarah Fisher,Dollar General/Sarah Fisher Racing,Dallara/Honda,Contact,125,0,250305,2010
27,30,224.388,14,Vitor Meira,ABC Supply Co. A.J. Foyt Racing,Dallara/Honda,Contact,105,0,300305,2010
28,9,223.487,6,Hideki Mutoh,Formula Dream/Panasonic,Dallara/Honda,Handling,76,0,315305,2010
29,12,225.028,2,Raphael Matos,HP de Ferran Dragon Racing,Dallara/Honda,Contact,72,0,300305,2010
30,28,224.518,43,John Andretti,Team Window World,Dallara/Honda,Contact,62,0,251805,2010
31,13,224.888,32,Mario Moraes,GEICO-Curb Records/KV Racing Technology,Dallara/Honda,Contact,17,0,301805,2010
32,25,225.662,33,Bruno Junqueira,Bowers & Wilkins/TorcUP,Dallara/Honda,Contact,7,0,261805,2010
33,14,224.852,21,Davey Hamilton,HP de Ferran Dragon Racing,Dallara/Honda,Contact,0,0,255305,2010
1,6,226.49,98,Dan Wheldon,William Rast - Curb/Big Machine,Dallara/Honda,Running,200,1,2567255,2011
2,12,225.579,4,JR Hildebrand,National Guard Panther Racing,Dallara/Honda,Running,200,7,1064895,2011
3,29,224.38,38,Graham Rahal,Service Central,Dallara/Honda,Running,200,6,666945,2011
4,22,224.417,82,Tony Kanaan,GEICO - KV Racing Technology - Lotus,Dallara/Honda,Running,200,0,438745,2011
5,2,227.34,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,Running,200,73,519345,2011
6,3,227.168,2,Oriol Servia,CDW/Telemundo,Dallara/Honda,Running,200,18,364845,2011
7,14,225.285,30,Bertrand Baguette,The RACB/Aspria RLL Special,Dallara/Honda,Running,200,11,256255,2011
8,21,224.433,7,Tomas Scheckter,Team REDLINE Xtreme - Circle K,Dallara/Honda,Running,200,0,253805,2011
9,27,224.628,26,Marco Andretti,Team Venom,Dallara/Honda,Running,200,0,311245,2011
10,25,224.861,7,Danica Patrick,Team GoDaddy,Dallara/Honda,Running,200,10,321745,2011
11,8,225.121,67,Ed Carpenter,Dollar General/Sarah Fisher Racing,Dallara/Honda,Running,200,3,251655,2011
12,9,226.379,10,Dario Franchitti,Target Chip Ganassi Racing,Dallara/Honda,Running,200,51,369695,2011
13,28,224.499,83,Charlie Kimball,Levemir and Novolog FlexPen,Dallara/Honda,Running,199,0,251555,2011
14,5,226.773,12,Will Power,Verizon Team Penske,Dallara/Honda,Running,199,0,318745,2011
15,11,225.59,14,Vitor Meira,ABC Supply Co./A.J. Foyt Racing,Dallara/Honda,Running,199,0,306745,2011
16,19,224.511,22,Justin Wilson,Z-Line Designs/Dreyer & Reinbold Racing,Dallara/Honda,Running,199,0,309995,2011
17,16,225.216,3,Helio Castroneves,Shell V-Power/Pennzoil Ultra Team Penske,Dallara/Honda,Running,199,0,320245,2011
18,7,225.786,44,Buddy Rice,Fuzzy's Vodka/Panther Racing,Dallara/Honda,Running,198,0,252805,2011
19,30,223.957,19,Alex Lloyd,Boy Scouts of America,Dallara/Honda,Running,198,0,254805,2011
20,31,223.936,36,Pippa Mann,Conquest Racing,Dallara/Honda,Running,198,0,251555,2011
21,32,223.879,24,Ana Beatriz,Team Ipiranga/Dreyer & Reinbold Racing,Dallara/Honda,Running,197,0,306745,2011
22,17,224.981,43,John Andretti,Team Window World,Dallara/Honda,Running,197,0,251305,2011
23,33,224.691,41,Ryan Hunter-Reay,ABC Supply/DHL/Sun Drop,Dallara/Honda,Running,197,0,252805,2011
24,15,225.25,11,Davey Hamilton,HP/Dreyer & Reinbold Racing,Dallara/Honda,Running,193,0,251305,2011
25,24,224.939,23,Paul Tracy,WIX Filters/Dreyer & Reinbold Racing,Dallara/Honda,Running,175,0,252805,2011
26,4,226.887,99,Townsend Bell,Herbalife Schmidt Pelfrey Racing,Dallara/Honda,Contact,157,0,252805,2011
27,26,224.639,6,Ryan Briscoe,IZOD Team Penske,Dallara/Honda,Contact,157,0,356745,2011
28,1,227.472,77,Alex Tagliani,Bowers & Wilkins/Sam Schmidt Motorsports,Dallara/Honda,Contact,147,20,492245,2011
29,13,225.572,6,James Hinchcliffe,Sprott Newman Haas Racing,Dallara/Honda,Contact,99,0,256305,2011
30,20,224.483,88,Jay Howard,Service Central Schmidt RLL Racing,Dallara/Honda,Contact,60,0,251555,2011
31,23,224.392,78,Simona de Silvestro,Nuclear Clean Air Energy,Dallara/Honda,Handling,44,0,311745,2011
32,18,224.732,59,E.J. Viso,PDVSA - KV Racing Technology - Lotus,Dallara/Honda,Contact,27,0,306745,2011
33,10,225.736,5,Takuma Sato,Monavie-KV Racing Technology - Lotus,Dallara/Honda,Contact,20,0,310245,2011
1,16,223.582,50,Dario Franchitti,Target Chip Ganassi Racing,Dallara/Honda,Running,200,23,2474280,2012
2,15,223.684,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,Running,200,53,1102280,2012
3,8,224.751,11,Tony Kanaan,GEICO/Mouser Electronics KV Racing Technology,Dallara/Chevrolet,Running,200,7,636580,2012
4,27,222.393,22,Oriol Servia,Panther/Dreyer & Reinbold Racing,Dallara/Chevrolet,Running,200,0,443430,2012
5,1,226.484,2,Ryan Briscoe,IZOD Team Penske,Dallara/Chevrolet,Running,200,15,489930,2012
6,2,226.481,27,James Hinchcliffe,Team GoDaddy.com,Dallara/Chevrolet,Running,200,5,357680,2012
7,21,222.929,18,Justin Wilson,Sonny's BBQ,Dallara/Honda,Running,200,0,303430,2012
8,14,223.868,83,Charlie Kimball,NovoLog FlexPen,Dallara/Honda,Running,200,3,277655,2012
9,20,223.134,99,Townsend Bell,BraunAbility-Schmidt-Pelfrey Motorsports,Dallara/Honda,Running,200,0,251305,2012
10,6,225.172,3,Helio Castroneves,Shell V-Power/Pennzoil Ultra Team Penske,Dallara/Chevrolet,Running,200,0,308930,2012
11,10,224.264,8,Rubens Barrichello,BMC/Embrase KV Racing Technology,Dallara/Chevrolet,Running,200,2,331080,2012
12,11,224.0,98,Alex Tagliani,Team Barracuda-BHA,Dallara/Honda,Running,200,2,252205,2012
13,12,223.959,38,Graham Rahal,Service Central,Dallara/Honda,Running,200,0,306680,2012
14,18,223.422,4,JR Hildebrand,National Guard Panther Racing,Dallara/Chevrolet,Running,200,0,306680,2012
15,17,223.482,19,James Jakes,Boy Scouts of America,Dallara/Honda,Running,200,0,252555,2012
16,23,222.891,77,Simon Pagenaud,Schmidt Hamilton HP Motorsports,Dallara/Honda,Running,200,0,303680,2012
17,19,223.392,15,Takuma Sato,Rahal Letterman Lanigan Racing,Dallara/Honda,Contact,199,31,301755,2012
18,9,224.422,5,E.J. Viso,CITGO/PDVSA KV Racing Technology,Dallara/Chevrolet,Running,199,0,303430,2012
19,22,222.893,30,Michel Jourdain Jr.,Office Depot/RLL Racing,Dallara/Honda,Running,199,0,253305,2012
20,25,223.76,7,Sebastien Bourdais,Dragon Racing,Dallara/Chevrolet,Running,199,0,252805,2012
21,28,222.324,20,Ed Carpenter,Fuzzy's Vodka Ed Carpenter Racing,Dallara/Chevrolet,Running,199,0,304930,2012
22,30,221.624,6,Katherine Legge,TrueCar Dragon Racing,Dallara/Chevrolet,Running,199,0,303680,2012
23,13,223.92,25,Ana Beatriz,Team Ipiranga,Dallara/Chevrolet,Running,190,0,252805,2012
24,4,225.456,26,Marco Andretti,Team RC Cola,Dallara/Chevrolet,Contact,187,59,368480,2012
25,7,224.037,67,Josef Newgarden,Sarah Fisher Hartman/Dollar General,Dallara/Honda,Mechanical,161,0,257805,2012
26,24,222.811,17,Sebastian Saavedra,Team AFS,Dallara/Chevrolet,Electrical,143,0,256305,2012
27,3,226.24,28,Ryan Hunter-Reay,Team DHL/Sun Drop Citrus Soda,Dallara/Chevrolet,Suspension,123,0,346680,2012
28,5,225.422,12,Will Power,Verizon Team Penske,Dallara/Chevrolet,Contact,79,0,310430,2012
29,29,222.319,14,Mike Conway,ABC Supply Co./A.J. Foyt Racing,Dallara/Honda,Contact,78,0,305430,2012
30,31,214.455,39,Bryan Clauson,Sarah Fisher Hartman/Curb Agajanian,Dallara/Honda,Mechanical,46,0,258055,2012
31,26,223.258,41,Wade Cunningham,Ecat/ABC Supply,Dallara/Honda,Electrical,42,0,251555,2012
32,32,214.393,78,Simona de Silvestro,Nuclear Clean Air Energy Lotus HVM Racing,Dallara/Lotus,Handling,10,0,303430,2012
33,33,210.094,64,Jean Alesi,Lotus - FP Journe - Fan Force United,Dallara/Lotus,Handling,9,0,251555,2012
1,12,226.949,11,Tony Kanaan,Hydroxycut KV Racing Technology-SH Racing,Dallara/Chevrolet,Running,200,34,2353355,2013
2,2,228.342,26,Carlos Munoz,Unistraw,Dallara/Chevrolet,Running,200,12,964205,2013
3,7,227.904,1,Ryan Hunter-Reay,DHL,Dallara/Chevrolet,Running,200,26,583005,2013
4,3,228.261,25,Marco Andretti,RC Cola,Dallara/Chevrolet,Running,200,31,469755,2013
5,14,226.37,19,Justin Wilson,Dale Coyne Racing,Dallara/Honda,Running,200,0,337805,2013
6,8,227.762,3,Helio Castroneves,Shell V-Power/Pennzoil Ultra Team Penske,Dallara/Chevrolet,Running,200,1,313755,2013
7,5,228.099,2,AJ Allmendinger,IZOD Team Penske,Dallara/Chevrolet,Running,200,23,261155,2013
8,21,225.674,77,Simon Pagenaud,Schmidt Hamilton HP Motorsports,Dallara/Honda,Running,200,0,262805,2013
9,19,225.88,83,Charlie Kimball,NovoLog FlexPen,Dallara/Honda,Running,200,0,269305,2013
10,1,228.762,20,Ed Carpenter,Fuzzy's Vodka Ed Carpenter Racing,Dallara/Chevrolet,Running,200,37,405955,2013
11,13,226.814,22,Oriol Servia,Panther DRR,Dallara/Chevrolet,Running,200,0,271305,2013
12,23,225.265,8,Ryan Briscoe,NTT DATA,Dallara/Honda,Running,200,0,230555,2013
13,18,225.892,14,Takuma Sato,ABC Supply Co./A.J. Foyt Racing,Dallara/Honda,Running,200,0,264805,2013
14,16,226.158,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,Running,200,1,268005,2013
15,29,224.184,18,Ana Beatriz,Ipiranga,Dallara/Honda,Running,200,0,262805,2013
16,28,224.873,55,Tristan Vautier,Lucas Oil/Schmidt Peterson Motorsports,Dallara/Honda,Running,200,0,227305,2013
17,24,225.226,78,Simona de Silvestro,Nuclear Entergy Areva KVRT,Dallara/Chevrolet,Running,200,0,262805,2013
18,4,228.15,5,E.J. Viso,Team Venezuela PDVSA Citgo,Dallara/Chevrolet,Running,200,5,276555,2013
19,6,228.087,12,Will Power,Verizon Team Penske,Dallara/Chevrolet,Running,200,16,273255,2013
20,20,225.809,16,James Jakes,Acorn Stairlifts,Dallara/Honda,Running,199,5,227555,2013
21,9,227.07,27,James Hinchcliffe,GoDaddy,Dallara/Chevrolet,Running,199,7,267955,2013
22,31,223.582,41,Conor Daly,ABC Supply Co./A.J. Foyt Racing,Dallara/Honda,Running,198,0,227305,2013
23,17,226.069,10,Dario Franchitti,Target Chip Ganassi Racing,Dallara/Honda,Contact,197,0,277805,2013
24,11,227.386,98,Alex Tagliani,Barracuda Racing,Dallara/Honda,Running,196,1,263255,2013
25,26,225.007,15,Graham Rahal,Midas/Big O Tires,Dallara/Honda,Contact,193,0,262805,2013
26,33,223.176,81,Katherine Legge,Angie's List Schmidt Peterson Pelfrey,Dallara/Honda,Running,193,0,225305,2013
27,22,225.643,60,Townsend Bell,"Sunoco ""Turbo"" Panther Racing",Dallara/Honda,Running,192,1,237255,2013
28,25,225.731,21,Josef Newgarden,Sarah Fisher Hartman/Century 21,Dallara/Honda,Running,191,0,264305,2013
29,15,226.196,7,Sebastien Bourdais,Dragon Racing,Dallara/Chevrolet,Contact,178,0,262805,2013
30,30,224.005,63,Pippa Mann,Cyclops Gear.com,Dallara/Honda,Contact,46,0,225305,2013
31,32,223.442,91,Buddy Lazier,Spirit of Oklahoma,Dallara/Chevrolet,Mechanical,44,0,230305,2013
32,27,224.929,6,Sebastian Saavedra,Dragon Racing,Dallara/Chevrolet,Contact,34,0,225305,2013
33,10,227.441,4,JR Hildebrand,National Guard Panther Racing,Dallara/Chevrolet,Contact,3,0,264305,2013
1,19,229.719,28,Ryan Hunter-Reay,DHL Honda,Dallara/Honda,Running,200,56,2491194,2014
2,4,230.649,3,Helio Castroneves,Pennzoil Ultra Platinum Team Penske Chevrolet,Dallara/Chevrolet,Running,200,38,785194,2014
3,6,230.544,25,Marco Andretti,Snapple Honda,Dallara/Honda,Running,200,20,585194,2014
4,6,230.146,34,Carlos Munoz,Cinsay AndrettiTV.com HVM Honda,Dallara/Honda,Running,200,0,449194,2014
5,10,230.007,2,Juan Pablo Montoya,Verizon Team Penske Chevrolet,Dallara/Chevrolet,Running,200,16,441944,2014
6,12,230.782,26,Kurt Busch,Suretone Honda,Dallara/Honda,Running,200,0,423889,2014
7,17,229.847,11,Sebastien Bourdais,Hydroxycut/Mistic KVSH Racing Chevrolet,Dallara/Chevrolet,Running,200,0,384194,2014
8,3,230.697,12,Will Power,Verizon Team Penske Chevrolet,Dallara/Chevrolet,Running,200,22,442194,2014
9,31,228.436,22,Sage Karam,Comfort Revolution/Brantley Gilbert Chevrolet,Dallara/Chevrolet,Running,200,0,270305,2014
10,9,228.726,21,JR Hildebrand,Preferred Freezer/Ed Carpenter Racing Chevrolet,Dallara/Chevrolet,Running,200,0,366194,2014
11,18,229.752,16,Oriol Servia,Rahal Letterman Lanigan Racing Honda,Dallara/Honda,Running,200,0,247305,2014
12,5,230.614,77,Simon Pagenaud,Schmidt Peterson Hamilton Motorsports Honda,Dallara/Honda,Running,200,0,374444,2014
13,24,229.148,68,Alex Tagliani,SFHR/RW Motorsports Honda,Dallara/Honda,Running,200,3,368694,2014
14,27,228.949,5,Jacques Villeneuve,Schmidt Peterson Motorsports Honda,Dallara/Honda,Running,200,0,354194,2014
15,32,228.088,17,Sebastian Saavedra,KV AFS Racing Chevrolet,Dallara/Chevrolet,Running,200,0,349194,2014
16,28,228.865,33,James Davison,KVRT/Always Evolving Racing Chevrolet,Dallara/Chevrolet,Running,200,0,341194,2014
17,21,229.251,18,Carlos Huertas,Dale Coyne Racing Honda,Dallara/Honda,Running,200,0,339694,2014
18,30,228.713,8,Ryan Briscoe,NTT Data Chip Ganassi Racing Chevrolet,Dallara/Chevrolet,Running,200,0,344444,2014
19,23,229.201,14,Takuma Sato,ABC Supply A.J. Foyt Racing Honda,Dallara/Honda,Running,200,0,342444,2014
20,13,230.506,98,Jack Hawksworth,Integrity Energee Drink Honda,Dallara/Honda,Running,200,0,346194,2014
21,15,230.049,7,Mikhail Aleshin,SMP Racing Honda,Dallara/Honda,Running,198,1,340194,2014
22,14,230.256,19,Justin Wilson,Dale Coyne Racing Honda,Dallara/Honda,Running,198,0,339194,2014
23,29,228.814,41,Martin Plowman,ABC Supply/A.J. Foyt Racing Honda,Dallara/Honda,Running,196,0,225805,2014
24,22,229.223,63,Pippa Mann,Dale Coyne Racing Honda,Dallara/Honda,Running,193,0,226805,2014
25,25,229.009,6,Townsend Bell,Robert Graham KV Racing Technology Chevrolet,Dallara/Chevrolet,Contact,190,0,226805,2014
26,16,229.992,10,Tony Kanaan,Target Chip Ganassi Racing Chevrolet,Dallara/Chevrolet,Running,177,1,343194,2014
27,1,231.067,20,Ed Carpenter,Fuzzy's Vodka/Ed Carpenter Racing Chevrolet,Dallara/Chevrolet,Contact,175,26,463694,2014
