train_loss,epoch,step,val_loss
0.2251983880996704,0,49,
0.21866591274738312,0,99,
0.21367080509662628,0,149,
0.2128044068813324,0,199,
0.20846238732337952,0,249,
0.20993711054325104,0,299,
0.2101101577281952,0,349,
0.21160560846328735,0,399,
0.20767174661159515,0,449,
0.21049946546554565,0,499,
0.20945702493190765,0,549,
0.20937985181808472,0,599,
0.20708417892456055,0,649,
0.2076263427734375,0,699,
,0,703,0.20927982032299042
0.20967230200767517,1,749,
0.20975318551063538,1,799,
0.21238332986831665,1,849,
0.21172530949115753,1,899,
0.2127205729484558,1,949,
0.2081589698791504,1,999,
0.2083454430103302,1,1049,
0.20952466130256653,1,1099,
0.20892028510570526,1,1149,
0.20876191556453705,1,1199,
0.20962731540203094,1,1249,
0.20667950809001923,1,1299,
0.20741787552833557,1,1349,
0.20856857299804688,1,1399,
,1,1407,0.20887599885463715
0.20818522572517395,2,1449,
0.21120452880859375,2,1499,
0.20530392229557037,2,1549,
0.20935091376304626,2,1599,
0.21082289516925812,2,1649,
0.20971348881721497,2,1699,
0.20613333582878113,2,1749,
0.21263353526592255,2,1799,
0.20853067934513092,2,1849,
0.20544524490833282,2,1899,
0.208113893866539,2,1949,
0.2092067003250122,2,1999,
0.20720897614955902,2,2049,
0.20929159224033356,2,2099,
,2,2111,0.2087412327528
0.21148867905139923,3,2149,
0.2092760056257248,3,2199,
0.2104722261428833,3,2249,
0.21010799705982208,3,2299,
0.20947545766830444,3,2349,
0.2088984251022339,3,2399,
0.2049870789051056,3,2449,
0.21001017093658447,3,2499,
0.20898966491222382,3,2549,
0.20829375088214874,3,2599,
0.20462729036808014,3,2649,
0.20786549150943756,3,2699,
0.20804408192634583,3,2749,
0.20936062932014465,3,2799,
,3,2815,0.20867808163166046
0.20690813660621643,4,2849,
0.21138903498649597,4,2899,
0.2076665461063385,4,2949,
0.20710621774196625,4,2999,
0.2089192420244217,4,3049,
0.2088124006986618,4,3099,
0.20843830704689026,4,3149,
0.2074350267648697,4,3199,
0.20882228016853333,4,3249,
0.20742793381214142,4,3299,
0.2101990431547165,4,3349,
0.20921236276626587,4,3399,
0.20579981803894043,4,3449,
0.20823784172534943,4,3499,
,4,3519,0.20864151418209076
