train_loss,epoch,step,test_loss
0.028196042403578758,0,49,
0.015439538285136223,0,99,
0.011079897172749043,0,149,
0.00840336736291647,0,199,
0.006737881805747747,0,249,
0.00692113908007741,0,299,
0.005611211992800236,0,349,
0.005631063599139452,0,399,
0.00534225394949317,0,449,
0.005052404012531042,0,499,
0.004669348709285259,0,549,
0.004678163677453995,0,599,
0.0044242567382752895,0,649,
0.00462766271084547,0,699,
,0,703,0.004393340088427067
0.00416887691244483,1,749,
0.004020186606794596,1,799,
0.0037594984751194715,1,849,
0.003429041476920247,1,899,
0.0036403615958988667,1,949,
0.0037080231122672558,1,999,
0.0035219849087297916,1,1049,
0.0034473200794309378,1,1099,
0.003409945173189044,1,1149,
0.0034719579853117466,1,1199,
0.0029727560468018055,1,1249,
0.0030751933809369802,1,1299,
0.003202351275831461,1,1349,
0.003060487098991871,1,1399,
,1,1407,0.003250241046771407
0.0027958527207374573,2,1449,
0.002868066541850567,2,1499,
0.002934243530035019,2,1549,
0.0028317405376583338,2,1599,
0.0029494413174688816,2,1649,
0.002833197358995676,2,1699,
0.002659415127709508,2,1749,
0.002967118052765727,2,1799,
0.0028402863536030054,2,1849,
0.0028203092515468597,2,1899,
0.0024950383231043816,2,1949,
0.002670293441042304,2,1999,
0.0025549496058374643,2,2049,
0.002473145956173539,2,2099,
,2,2111,0.002662545768544078
0.002402998972684145,3,2149,
0.002550671808421612,3,2199,
0.0022310642525553703,3,2249,
0.0024610438849776983,3,2299,
0.0024734975304454565,3,2349,
0.00235982658341527,3,2399,
0.00221745646558702,3,2449,
0.0024856964591890574,3,2499,
0.0022730284836143255,3,2549,
0.002181848743930459,3,2599,
0.0022109090350568295,3,2649,
0.0021686051040887833,3,2699,
0.0022490292321890593,3,2749,
0.002084907377138734,3,2799,
,3,2815,0.002318829298019409
0.002048306865617633,4,2849,
0.0021159376483410597,4,2899,
0.002094837138429284,4,2949,
0.002126788953319192,4,2999,
0.0019389877561479807,4,3049,
0.002203256357461214,4,3099,
0.002052085939794779,4,3149,
0.002036645309999585,4,3199,
0.001941720605827868,4,3249,
0.0019298380939289927,4,3299,
0.0019408904481679201,4,3349,
0.0020704714115709066,4,3399,
0.0019865520298480988,4,3449,
0.002064975444227457,4,3499,
,4,3519,0.0021110863890498877
