train_loss,epoch,step,val_loss,val_accuracy
2.9755852222442627,0,49,,
2.205286741256714,0,99,,
1.913251280784607,0,149,,
1.8149888515472412,0,199,,
1.4148693084716797,0,249,,
1.4489151239395142,0,299,,
1.7620295286178589,0,349,,
1.6782925128936768,0,399,,
1.507902979850769,0,449,,
2.171466827392578,0,499,,
1.5177745819091797,0,549,,
1.5671442747116089,0,599,,
1.955862045288086,0,649,,
1.7317477464675903,0,699,,
,0,703,1.5936318635940552,24.23200035095215
1.3548144102096558,1,749,,
1.5204095840454102,1,799,,
1.7975289821624756,1,849,,
2.2720675468444824,1,899,,
1.3845815658569336,1,949,,
1.4450572729110718,1,999,,
0.9686619639396667,1,1049,,
1.2726614475250244,1,1099,,
1.6246631145477295,1,1149,,
1.6966365575790405,1,1199,,
1.6313403844833374,1,1249,,
1.730950951576233,1,1299,,
2.280790328979492,1,1349,,
1.3501629829406738,1,1399,,
,1,1407,1.5420621633529663,24.478666305541992
2.177809715270996,2,1449,,
1.3424001932144165,2,1499,,
1.0722523927688599,2,1549,,
1.1207184791564941,2,1599,,
1.0417988300323486,2,1649,,
1.0203559398651123,2,1699,,
1.423980474472046,2,1749,,
1.6949188709259033,2,1799,,
1.236616849899292,2,1849,,
1.1445426940917969,2,1899,,
1.9500246047973633,2,1949,,
1.3174806833267212,2,1999,,
1.0366352796554565,2,2049,,
1.7185333967208862,2,2099,,
,2,2111,1.5087653398513794,24.631999969482422
1.8376867771148682,3,2149,,
1.2061231136322021,3,2199,,
1.2341703176498413,3,2249,,
1.4686628580093384,3,2299,,
1.5353418588638306,3,2349,,
1.3882874250411987,3,2399,,
1.4291664361953735,3,2449,,
1.450221061706543,3,2499,,
1.8363410234451294,3,2549,,
0.7700834274291992,3,2599,,
1.1731410026550293,3,2649,,
1.1076228618621826,3,2699,,
0.9765233993530273,3,2749,,
2.2952089309692383,3,2799,,
,3,2815,1.4804670810699463,24.72800064086914
2.032041311264038,4,2849,,
1.1645548343658447,4,2899,,
1.4925585985183716,4,2949,,
1.496899962425232,4,2999,,
1.150467872619629,4,3049,,
0.7905560731887817,4,3099,,
1.1018577814102173,4,3149,,
1.2380856275558472,4,3199,,
1.340179681777954,4,3249,,
0.9529837369918823,4,3299,,
1.5464346408843994,4,3349,,
2.022798538208008,4,3399,,
1.4100210666656494,4,3449,,
1.7064168453216553,4,3499,,
,4,3519,1.4554128646850586,24.805334091186523
1.1754851341247559,5,3549,,
1.6061257123947144,5,3599,,
1.785365104675293,5,3649,,
0.9802185297012329,5,3699,,
1.4581098556518555,5,3749,,
1.6371856927871704,5,3799,,
1.3153654336929321,5,3849,,
1.6323397159576416,5,3899,,
1.102018117904663,5,3949,,
1.5480960607528687,5,3999,,
1.8323009014129639,5,4049,,
1.2416871786117554,5,4099,,
1.4459553956985474,5,4149,,
1.3561460971832275,5,4199,,
,5,4223,1.4282383918762207,25.013334274291992
1.1982342004776,6,4249,,
1.7289918661117554,6,4299,,
1.0850213766098022,6,4349,,
1.535912036895752,6,4399,,
1.4772950410842896,6,4449,,
0.705651044845581,6,4499,,
1.744978666305542,6,4549,,
1.0842565298080444,6,4599,,
1.1264346837997437,6,4649,,
1.571431040763855,6,4699,,
1.2006936073303223,6,4749,,
1.989026427268982,6,4799,,
1.8244200944900513,6,4849,,
1.3587305545806885,6,4899,,
,6,4927,1.4137905836105347,25.05066680908203
1.62302565574646,7,4949,,
1.0985546112060547,7,4999,,
1.2799558639526367,7,5049,,
1.4997131824493408,7,5099,,
1.6904608011245728,7,5149,,
1.9518401622772217,7,5199,,
2.1071484088897705,7,5249,,
0.9769207239151001,7,5299,,
1.4307143688201904,7,5349,,
1.0190987586975098,7,5399,,
1.5408828258514404,7,5449,,
1.35502290725708,7,5499,,
1.2477859258651733,7,5549,,
1.5829046964645386,7,5599,,
,7,5631,1.4041399955749512,25.1200008392334
1.0214427709579468,8,5649,,
1.2204772233963013,8,5699,,
1.4187653064727783,8,5749,,
1.1098514795303345,8,5799,,
1.3560024499893188,8,5849,,
1.6520293951034546,8,5899,,
0.8850811123847961,8,5949,,
1.9755359888076782,8,5999,,
